Name_cn,ID,Last_Name,Zi,Name_en,Affiliation,Dynasty,Birth_year,Death_year,Life_Span,Father,Father_ID,Native_place,Gender,Jun,Xian,Note,
华歆,1,华,子鱼,Hua xin,汉，魏,Wei,157,232,76,,,平原高唐,,平原,高唐,少时以儒学称，举孝廉，任郎中。何进辅政，征其入洛阳任尚书郎。董卓乱，华歆辗转江淮。200年回洛阳，历任尚书，侍中，尚书令。214年奉曹操令率兵入宫执伏皇后。217年任魏国御史大夫，220年任魏相国,
诸葛亮,2,诸葛,孔明,Zhuge liang,汉，蜀,Shu,181,234,54,诸葛珪,1229,琅琊阳都,,琅琊,阳都,,
管宁,3,管,幼安,Guan ning,汉，魏,Wei,158,241,84,,,北海朱虚,,北海,朱虚,汉末高士，与华歆齐名。管仲后人,
曹操,4,曹,孟德,Cao cao,汉,EastHan,155,220,66,曹嵩,1629,沛国谯,,沛国,谯,,
曹丕,5,曹,子桓,Cao pi,汉，魏,Wei,187,226,40,曹操,4,沛国谯,,沛国,谯,,
曹叡,6,曹,元仲,Cao rui,汉，魏,Wei,204,239,36,曹丕,5,沛国谯,,沛国,谯,,
王朗,7,王,景兴,Wang lang,汉，魏,Wei,,228,,,,东海郯,,东海,郯,仕曹魏至司徒,
刘备,8,刘,玄德,Liu bei,汉，蜀,Shu,161,223,63,刘弘,1102,涿郡涿县,,涿郡,涿县,,
孙权,9,孙,仲谋,Sun quan,汉，吴,Wu,182,252,71,孙坚,1061,吴郡富春,,吴郡,富春,,
孙登,10,孙,子高,Sun deng,汉，吴,Wu,209,241,33,孙权,9,吴郡富春,,吴郡,富春,孙权长子，死于孙权之前,
王肃,11,王,子雍,Wang su,汉，魏,Wei,195,256,62,王朗,7,东海郯,,东海,郯,王朗子，司马昭岳父,
许靖,12,许,文休,Xu jing,汉，蜀,Shu,147,222,76,,,汝南平舆,,汝南,平舆,许劭堂兄，仕蜀为左将军长史，太傅，司徒，均为虚职，无权,
曹真,13,曹,子丹,Cao zhen,汉，魏,Wei,,231,,,,沛国谯,,沛国,谯,曹操族子，官至大司马，大将军,
刘协,14,刘,伯和,Liu xie,汉，魏,Wei,181,234,54,刘宏,#N/A,,,,,献帝,
曹爽,15,曹,昭伯,Cao shuang,魏,Wei,,249,,曹真,13,沛国谯,,沛国,谯,曹真子,
何晏,16,何,平叔,He yan,汉，魏,Wei,196,249,54,,,南阳宛,,南阳,宛,何进孙，曹操养子。娶曹操女金乡公主。高平陵之变死,
邓飏,17,邓,玄茂,Deng yang,魏,Wei,,249,,,,南阳新野,,南阳,新野,曹爽党，高平陵之变后为司马懿所杀,
蒋济,18,蒋,子通,Jiang ji,汉，魏,Wei,,249,,,,楚国平阿,,楚国,平阿,官至太尉,
桓范,19,桓,元则,Huan fan,汉，魏,Wei,,249,,,,沛国,,沛国,,曹叡时任中领军，高平陵之变时任大司农,
司马师,20,司马,子元,Sima shi,汉，魏,Wei,208,255,48,司马懿,133,河内温,,河内,温,司马懿长子,
毌丘俭,21,毌丘,仲恭,Guanqiu jian,汉，魏,Wei,,255,,毌丘兴,939,河东闻喜,,河东,闻喜,曾为平原侯（曹叡）文学。曹叡即位，甚见亲待,
文钦,22,文,仲若,Wen qin,"魏,吴",Wu,,258,,文稷,962,沛国谯,,沛国,谯,曹爽邑人，尝坐魏讽事下狱，当死，曹操赦之。扬州刺史，前将军。随毌丘俭反，败，亡入吴,
关羽,23,关,云长,Guan yu,汉，蜀,Shu,,220,,,,河东解良,,河东,解良,,
于禁,24,于,文则,Yu jin,汉，魏,Wei,,221,,,,泰山钜平,,泰山,钜平,曹魏左将军。早年随曹操多有战功。樊城之战，降关羽，羽败又归东吴。后回曹魏，羞惭发病而死,
郑玄,25,郑,康成,Zheng xuan,汉,EastHan,127,200,74,,,北海高密,,北海,高密,经学家，官至大司农,
邯郸淳,26,邯郸,子叔,Handan chun,汉,EastHan,,221,,,,,,颍川,,善书法，做曹娥碑（故其当生于151年之前）。曹魏初为博士给事中。,
周生烈,27,周生,,Zhousheng lie,汉，魏,Wei,,,,,,,,敦煌,,仕曹魏为博士，侍中,
董遇,28,董,季直,Dong yu,汉，魏,Wei,,,,,,弘农华阴,,弘农,华阴,早年与兄依段煨。建安初举孝廉，转黄门侍郎，曾为献帝侍讲。入魏官至侍中，大司农,
段煨,29,段,忠明,Duan wei,汉,EastHan,,209,,,,涼州,,武威,,董卓将，中郎将。董卓死后献帝东归，段煨供给周急。后为杨定，董承等人所诬，双方互斗十数日，献帝和解之。198年，段煨入长安，部下杀李傕，收李傕全家至许昌，曹操尽杀之。段煨后官至大鸿胪，光禄大夫。,
刘辩,30,刘,,Liu bian,汉,EastHan,176,190,15,刘宏,#N/A,,,,,少帝,
司马冏,31,司马,景治,Sima jiong,晋,Jin,,303,,司马攸,1633,河内温,,河内,温,司马昭次子司马攸之子，八王之一，详见八王之乱,
贾洪,32,贾,叔业,Jia hong,汉，魏,Wei,,,,,,京兆新丰,,京兆,新丰,曹魏学者，精《春秋左传》,
董艾,33,董,,Dong ai,魏，晋,Jin,,,,董遇,28,弘农华阴,,弘农,华阴,董遇子,
董绥,34,董,,Dong sui,魏,Wei,,,,董遇,28,弘农华阴,,弘农,华阴,董遇长子,
薛夏,35,薛,宣声,Xue xia,魏,Wei,,,,,,天水,,天水,,曹魏学者，与曹丕善,
